category,match,slot,text
1,83,7,retard. little fairplay rusians shit. dont pause now. y are retard?. or blind?. Stupid russans kid. go EAST. this is west server. y have rusan and east
1,83,8,wiat pls. fuck mothers
0,87,5,GGGGGGGGGGGGGGGG. fuck the game. okay boiz
1,87,6,fuck this shit nap team. rly
0,87,7,cant play
0,90,5,aw you got a silver edge for me. cute
1,97,7,fUNNY. no cour no wards jungle lc. so nice game. im afk guys. kepp presure and win it fast. report lc. thx
0,97,8,the fan on low priority. no problems 
0,99,6,Haha. iyot is real. Haha
0,100,7,da. da. wtf. slaid shou 
0,100,9,its took 3 year
0,102,0,she didn't wait for enigma
0,102,1,"Dota 2, where a 45 minute game takes 90 minutes. 25 min of queue, 20 minutes of disconnects, and 45 minutes of game. I'm relaxed. Making a joke mate. You mad mate?"
0,102,4,.... oh now you want to pause? ;). gg
0,102,6,DONT FORGET TO REPORT NAGA
0,102,7,ggwp. lmao. so true. that's why they have a turbo now. ggwp. it's been 2min. relax. if he abondoned this game wont count. rata. s. ggwp. why. fuck this game. lets continue. GG. GG THIS TEAM. gg. GG. GGWP. EZ TEAM. ?. GUESS im a better naga. wp. GG. GGWP. team reported and afk . plz end fast. GG. TRASH TEAM. IM DONE. LMAO. gg. GG. TRASH TEAM
1,102,8,"lets not forget 30 min of being called noob in russian, korean, and spanish. quiet you trained monkey. DOTA where everyone is a cunt, regtardless of team"
0,107,1,take so long time to end. wa. noob. take so long time kid. ez. noob ahahahaha
0,107,5,?. wow. small id also pro like that. i will show u the real sven. injoker. dun use small id to lie other ppl. u still injoler. me?. lol. make sure u can kill me 1st. this is lie kids
0,107,7,sadd. Lol. no def?. its fat. fast. ez
0,107,8,jajaja. have fun. u can out. its not scored. in ur dream
0,108,5,dont forget to report sf. sf. unisntall
0,108,6,gl hf. Ggwp. gl next boys
0,108,8,ff. Afk. gg. yep. ff
0,108,9,she is dead anyway. lets stop when she is reviving. gg. just finish
0,109,7,Thank u for the laugh Lads. Commend Troll. For being a troll. xDDDDDDDDDDDDDDDDDD. Merry Christmas. He's autistic
0,111,8,"new meta es, blink for wat. we sure lose, but we never give up, we will def till the end. fucking hard game ever when got lucky timing skill on enemy. lol es, blink for wat"
0,112,1,russia is big in eu west. but if u yolo like hell its not venges fault ;). u popped his passive. which killed me. :P. sneeze more. gg
1,112,6,ASDGKHADFSADSFH. AHDFJOPFDAP]HAFD. ASDHPJOAHFDJOP][. Ty. voker. u spell me. waw. Waw. run. bitch. Waw. wow. invo. alah. i have 2 arab. how . i win. HOW THIS AM. wIN. (. wp doom
0,112,8,veng. Doesnt . know how to zone the lane
0,113,2,axe i eat you . no. axxe. 2vs5. how top play
0,113,5,wow
0,113,9,Fuck yourself. Quit. bb zeus. Oo cumback. check this. Miss mis miss. :D. cry bitch. :D
0,114,1,gg. recomend pliz
0,115,1,ahahha. stfu. moron
0,115,4,lul. wp. ?. ?. ez. Que?. ^. ?. ?
0,115,5,gg. ahahhahaha. holy shit. ok. i gotta take some deep breathes. these guys. hoooo. ok. im afk jungle. gg
0,115,6,these bashes. lol. their 2 stack was perfect aparently. pro tier plays. from the offlane. gg I guess
0,115,8,?. gg wp report OD. whining in chat. ?. ?. ?. Que tal?. ?. Whats wrong?. ?. ?. Que?. ?. ?. ?. ?. This WK ;). +. ez mid and top
0,115,9,++. nice bkb. Ez wk ez mid ez mirana. boring ass game
0,117,9,wp. ?. :D. problems?. this invo rekking. gg wp. i ended. as i said. gg wp. commends
0,118,1,i missed the hill. LOL. ok
1,118,3,rly. u fucks. tards. stupid ocw. cow. rof. l. nice . weaver. smart af. good shit. muuuu. good shit. muuuu. gege
0,118,5,k. tard?. ). ). )
0,118,6,what a player. wowwwww
0,118,9,go next. nice
0,119,4,sorry
1,121,1,gotta love to see ur underlord now. no really. do u see ur mama. imma piss on her. nice stick. niuce one. hi. nice winter. so pro. do u realzie. ur mom is fucking slut. nice one. retard. instead of moving. u killed es. waw. 2-5. 5 death. 13 mins. stop feeding dog. ahahaha. k. haha. shes fine. how's ur. urs. 21-16. fuck ur sister. haha. ahaha. aiight man. sa. sad. stfu. now u taljk. i killed 10 times. 16 kills. dont talk. when i die. retards. Lmao. retards. u cant win. they really think. puck can do anything. with his eul's. 9k ulti. underlord. 2-9. its ok. ur support. so its ok if u feed. we rosh. ROFL. ROFLLLLLLLLLLLLLLLL. winter. bb. go back boys. taking viper. into pa. now im ursa into . Underlord. simply. man. thats it. yeah man. last gtame. this pa. u was like. ur pro an. man. u picked. viper. u started man. u said. this pa. hhahahhaha. feels good. to win mmr. and feels bad. for u man. haha. ofc ez. u countered me
1,121,4,fucking danny. ayy. idk what teals talking abou. what the fuck. whys ursa talking. did u play earlier. STOP IT. waht is hapenign. what the fuck. sniped. what a world we live in. MAN URSA IS SUCH A TALKER. Jesus. im not 18 yet. MOO. MAN THIS URSA. dudes. dude
1,121,7,let the faggot be happy with his imba hero counter. see you in mid game. u actually that fucking bad ursa?. or feed?. do you realize u wont win this game?. how to change aggro :D. hows your mom ursa?. she just told me about your baby sized dick. she is not 18 yet. ur going to jail. high skill bash. if something. that is sad. 16 kills still lose. hehe
0,121,8,Gr8. so sad. 5k gank. LMAO. wut now ?
1,121,9,?. XD?. ??. XDD. U . are fucking retard ursa. u know that?. URSA. HELLO. URSA. TELL SOMEYHING. HOW YOUR ROSH. how you feel to loosing second game. vs me. ?. ??. and u loosing game. for teammates. wp man. XD. you are shit. man. cant win game. as pa. from free farm. now u pick counter vs me. and u think u are good. whatever. pa isnt cancer?. whatever. be happy. dota is all your life. you fucking nerd. u dont even leaving house. fat nigga. whatyever. last game. was ez. vs you
0,123,1,afk sorry. viper whats ur base dm. Dmg. gg xd. 1 by 1. ;/. gg
0,125,6,just leave
0,127,0,not our fault u have lag. gg sry about ur lan internet
0,127,1,dont first blood me. aim other party memeber lel. ??. ez. u guys actually. triggered me. hahaha. icbm girl
0,129,0,.|.. pl. can u give me bracer back plz. okay thanks you
0,129,8,"yes, sure. but my teammates wont to kill u((9(. gg wp"
0,130,2,farming lord AM
0,130,5,u can end. pudge afk
0,130,8,lelelel. thx for boot. lel
1,131,0,xD. report alche plz. end fast . report alche plz
1,131,2,nice supports. noob. pgg. pff*. report alche. stupid carry
1,131,3,xfd. Xd. REPORT ALCHE. REPORTEN ALCHE
0,133,2,what boost lol. im retard
0,133,5,nice boost . how many did he paid ? . you know you have a guy at 16-0 ?. withh 600 avg gpm
0,134,9,wow i got a kill while 2v1. must chat all now. xD. :)))). chat all. xD. music to my ears. haha. never chat all at early kids
0,139,6,GG was fun
0,140,2,haha. SVEN. HATE ME?. HAHAHA. AHHAHA. NOOBS. SVEN. HAHHA. HAHAHA. STROM. CARRY U. DATS ALL. HAHA. NOOB. HAHA. EZ. EZ. SVEN. EZ. HAHAH
0,140,3,noob ka lang
0,140,7,so ez. EZ jungle. HAHA
0,140,8,skill bruh. acc buyer
0,141,9,put that wards
0,145,0,lol. ayyyyy yooo chill. leave me alone. gg wp
0,145,1,gg. you guys were winning early game. gg noobs
0,145,3,dont listen to him
0,145,5,fuck this team
0,146,5,who mid XD. ?. bait. lol. scared of one fat guy?. gg. gege. XDDDDDDDDDD. wombo comvo. gg
0,146,7,magnus u have some mana 4 me
0,146,8,YOOO. lul. wp wp . you fookin clown magnus
0,146,9,at a price of fb. idiot lol . wp. wp 
1,147,0,u r so bad SF.  _. dickhead.  _.  _
0,147,4,ROFL
0,147,7,?. ?. ancient btw haHAA. ??. why so bad?. base?
0,147,8,??. ?. ??. how are you so high mmr???. ???. ?. fiend bad btw haHAA. you guys know that you need creeps to hit buildings?
1,147,9,YOU SUCK ME COCKY. GG EZ
1,149,0,GG. MID. REPORT MID. REPORTEN AL MID. REPORT . MID. PLS. REPORTEN A MI MID . DE MRDA. ES UN PUTO CIEGO . LOL. LE METI AL CREP. EL ULTI JAJAJA. REPORTEN. AL INVOKER. MIREN ESA. MRDA. REPORT MID. PLS. GG. CON EL INDOKER. DE MRDA. GG. MIREN A INDOKER. MUERETE. MALDITA. RATA. TIENE. 384 de opm . MALDITA. RATA. 387 de opm y va mid con invoker . EN MID. Y CONCHA. TU MADRE. QUE CHUCHA HACIAS . TU SALIR . DE TU TORRE. A MORIR . RATA DE MRDA. ACABEN. GG. REPORTEN AL MID DE MRDA. QUE ME TOCO
1,149,4,gg no0 tea. gg no team. ez mid. ez my mid. ez sniper's feeder. report. report invokerr. Ez mid report. only that. report invokerr. please. so report invo. somen te. Ez
0,149,7,ez mid. mid?. lol. ez. no gank bara. ez gank . ez mid. ez. lol. gg commend me. xd. xd. lol. VERY. SPEC IN THE BAG!
0,150,0,GOD. . techies makes the game boring. For everyone but one.. :). gg
0,150,3,Wtf. AHAH. AHHA. aim me more. AHHA. gg
0,150,4,luigi. stream sniper!. techies go kill yourself. xaxa. ole. +
0,150,5,please i begging you . report void 
1,152,8,nice. team. )). gg. axaxa. omg. OMG. useless. sky and mirana. can end ). :D: D. and?. privet :D. daun. end. afk
1,153,0,yo. where the fuck is snow. snowy terrain. juked . bby. nope. u burned my mana. good still. funny situation. almost pooped myself xD. when u burned mana. kamil stoch to ciota i chuj Xd. no . Xd. on nic nie ma w 23 minuty. a huskar mial 1/4. xDDDDD. nie sraj. druzyna gierki Ci przegrywa. a tak to bys mial 6k?. :/
0,153,1,Nah just other route. ggwp. Why did you leave Jugger all by himself?
0,153,3,was a pleasure 1v4 mid though. worked out well
0,153,4,happy new year _). GG
0,153,6,rotated 2 players top. and u got to b. i won. leaped. i juked es. gj man. well. i never seen some1 lose mid that hard with sf. wp. when we lost top tower sf was lvl 7. well wp
0,153,7,close game. gg
0,155,6,dude. i see u. gg. gg
0,155,9,wtf. oh right. true sight is 100 longer. nice duist. nice dust
0,159,8,Gege. lets go pats
0,160,4,sorry. switch off my cheats. uno des tres. UGANDA
0,160,9,sto)p cheat ulty 0 dmg ss stop cheat. ok sentry . 0reaction team 0 def team 0 info team pls ff enmys. only cheat. stop cheat trool. ss to
1,163,2,"MAN DOWN. calling emergency personnel. shadow fiend. i will burn you alive. yes with my ultimate fingering skill. sorry, was fingering your mum"
0,163,4,ABORT ABORT. finger you to death
0,163,8,??. i did not see u finger me to death even once?. ez
0,164,7,fcking noob hero. my god. gg
0,165,2,"what. do you want. its only turbo. lol. why are you so pissed. i main supp dude. i'm really not, sry man. 3k mmr is decent not pro. see, we are not ro. pro*. he has gone mad"
0,165,7,gg. AND?. IDC!. AND ?. UR HANDSOME WITH THAT ?. BECAUSE UR FUCKIN PRO. HEHE. PRO. WHY SO FAST LIKE BOT. FIGHT HIM HAHA. GG. SORRY FOR FEEDING MID. HEHE. PROEST TA EVER. SHUT UP UR PRO. FUCK UR REFRACT LOL. END :). END HEHE. BLAME ME TEAM :(. HEHE. WIPE. IM PASSIVBE EHHE. |YAH. HEHE GG. HEHE GG. GG REPORT ME SIR
0,165,8,end. pro they
0,166,0,get leaver have feeder huh?. like your ex. :D. gg
0,166,2,gl hf. please dont kill me. im kinda learning here. 2 slow. nop. tiny. small favor. STOP THROWING ME. get a hobby or smthing. lol. ninja. fu. gg. ez
0,166,3,script for what?. there are scripts for enigma?
0,166,6,enigma script test?. nice cheat
0,168,2,"meow. damn, now they know there are 4 of them bot. they didn't wait. how rude, right. gg"
0,168,4,4 bot. wait?
0,168,5,blinlk ? . up ? . what kind of vision is this . impossible game gg . sure 
0,168,6,pussies. sry
0,168,8,he survived . relax
1,169,0,miss click. lol i win game . ty pudge. noting. you will see. hi. broooo. i win game . you will see. hi ez gold. ya. S. hhahahaha. suck my dick idito. dont follow me. I see you . no ramapge. pf. wtf you want. omfg. i FEED PUDEG AND LOOK MY LIFESTEALR ITEMS IN 40. Gg 
0,169,6,LOOOL. FUCK YOU LIFE. gg
0,169,9,okay. feelsbadman. 4what. k. XD. hi. xD. 300 games pudge. whatya gonna do. xD. ahah. salty? :). mhm. 12 / 1 mid. sure salry. lol. xD. imf rkin dendi guys. ;D. dondo confirmed. hahahah. ayayayay. almost 1000 gold. gg
0,174,0,lower. you guys 3 top ...but did not any use
0,174,7,"pangolier mid. feeder hardlane. they whine cuz i bought midas. well, were we able to do shit?. ok. pro"
0,178,1,first pick. btw
0,178,4,lol. slardar. gg. recon. coming. please wait. am more
0,178,5,sad. carry
0,178,8,sad. lel. why mad bro
0,179,5,ty. wtf is with taht serwer. jesus gg
0,180,0,wp. nice try  
0,180,1,u okay dk?. its best for you to leave
0,180,5,g. delay shit. can i recon . not at all. at some way ill be stuck . IM SO DDELAY MAN
0,181,9,go end mid you can do it. necro no buyback
1,183,0,they speak taco. They cant understand you. reporting lc got it. Stfu LC. stupid taco. ZERO SUNSTRIKES. LC REPORTED. you said zero in the first statement. RETARD. WOAH SUNSTRIKE. DIDNT KNOW YOU KNEW THAT ONE INVOKER. yup np. you english?. gg. TACOTACOTACO. Get on your own servers retard. at least im doing better than LC ?\_(?)_/?. not at all. tacotaco. REPORT LC. ARCANA TO EVERYONE THAT DOES. Then blamed invoker?. sorry pa im not that rich. but fuck LC. Lc gave you ez
0,183,2,"is only game. you guys literally have a tri top. shut up . you suck at dota. get over it. learn to not overextend in solo lane. why. >0 suns. nigga he killed me. with 2. already. you dumb and blind?. its pretty dumb you're complaining, you're literally doing the worst on your team and holding them back LC. :C. wow a sunstrike. LOL 0 SUNSTRIKES SHIT INVO. reported. YOU GUYS MUST BE SO THANKFUL TO HAVE THIS AMAZING LC ON YOUR TEAM. ESKEETIT. not a difficult task. SO CLOSE"
0,183,3,I am PA. oh damn. I want me some arcana. gg sorry about lc
0,183,4,i mean he isnt grossly incandescent. but that's hardly his fault. no. un solo muerto. 7 veces. remember when legion died 7 times bot and then just kept dying?. i do
1,183,9,Can you guys report lc please. thx bru. First time playing offlane. ez. report lc. thx. end. here. oh. sad game
1,184,2,report. drow. 50 min lc. Farm. report. please. usuless. ggg
0,186,0,snipers don't come better than this my friends. gg wp. pls commend sniper
0,186,6,wp. wew. nc try nigga. ggwp. wp
0,192,5,hi pudge. oh u really there. spe is so fucking over farmed
1,195,5,"wtf. Really. this is jsut stupid, im out"
0,203,5,OMG. IT'S REALLY HAPPENING
0,207,9,shdow demon carry
0,208,9,lol. why even try?. Weaver
0,215,2,ok. wp bh. i had him muted. what did he say?. gg
1,215,4,gg. end. just end. this game is a joke. fucking account buyer omni. sure but this omni. cant buy a single ward. every game he picks omni 5 pos. and just lsoes game. ez omni pos 5 picker. ruins every single game hes in. gg this omni watches too much fucking slacks
0,215,5,xd. ROIFL. io mid is prank. ). just a hero. u know. and Io just doenst available on mid cuz like that. gl next. g
0,215,8,prank?. ty bro. this qop is just ruining the moment. he just dont realize omni is the worst 5 u can imagine(. nothing
0,216,3,my fucking tide. running. he not. even hitting. fucker. why. 5k. all suck
0,216,5,same like u. end. lul. sure. Read he name. just nothing. lul. 3-8 and 6-9
0,216,8,). can we guys. together. report our midder. thx. hes hero. can solo. win this game. but he braindead
0,219,5,No desire to play. go end
1,227,0,nice hook. EASY PUDGE. EASYY. haha. then what r u jug. herald 1 jug. lets go late game. ?. why blink in to fee. Feed. jugg so scary. u started it pudge. ???. jugg. where u. i save my ulti for u. ya. i dont speak poor. ??. what happened to your mid?. why make am so fat. indog are poor. do u need money. im in singapore. come suck my dick. i pay u. u run from me slardar. ?. >.<. ?. buye. buyer just shit on u dude. i rich what. how bout u. are u rich. ???. jhahaa. u calling me rich. thanks poor fagot. noob?. kill me. daddy. i came alr. creeps died. radian victory
0,227,1,haha. LOL. HAHA. ???. ?????????. ?. fat boi. haha. nice deny. ?. worth?. ?. worth?. easy. noob jugg. 1/8?. tsk. getting destroyed by herald axe. haha. ???. say that when u win. lol. ok. i shall wait. xd. jugg?. haha. lol. ez jugg. haha. ?. cuz i scared. ez. jugg. jugg?. ez. ez jugg. jugg. omni me. ?. haha. ez
0,227,3,LOL. ?. you got 1877 gold. gg
0,227,4,?. ?. ?. worth?. losing to herald bro. trash talk pa. ?. pls quit alr. at least got money to buy. so stfu. gege
0,227,6,just shut up. ?. ?. ?. ?. ?. fucking guardian. ?. ?. just wait bitch. ?. ez?. really. lets see
0,229,9,LOL. get off my dick pudge. u lost 2 towers 2 kill me. morons. great tp sniper. rough game
0,232,5,bots play better u know
0,234,0,"AHAHAHAHAH. insert coin, game over. AHAHAHAHAh"
1,235,5,"Dont attack my twrs pls. end. I die . because. Me . 10-0. solo carry team. Best team. (none). emo nobo kid. GG. afk. enjoy. they farm all day. buy retard items  i cant blieve. 0 teamplay. let midas slardar fcarm. AHAHHAHAHAHA. 10-3-8 useleso k. im afk. Enjoy ur loss u fuc,kijng garbage piece of shit. 6 death. 9 death. in a game i carry 10-0. AHAHHAHAHAHAHAHAHABAHHA. only. Only. FUCKING FARM. AND WITH FARM BUY FUCKINGF RETARDED ITEMS. TO FARM MORE. FUCKING PIECE OFS HGI GARBAGE PLAYER. GET CANCERS ALL. ALL HAVE ITEM AHAHHAHAHAHAHAHA. TEAM NO ITEM. I CREATE MORE SPAC THAN IN UNIVERSE. TEAM CANT. AHAHAHAHHA. GO END. RETARD IM LEGEND 5 IDIOT BASTARD NOOB. SHUT THE FUCK UP. U FUCKING RUIN GAME. ONLY FARM. I CARRY. 18 KILLS. WITH ASSIST. WHAT U DO. FARM ALL DAY. FEED 6 DEATH ANYWAY TO WEAK ENEMY. AND BE USELESS. Ez game. Team crusader 0. can only farm and do noting. like creep. end. cant believe how alch can have item. unbelievable. Team can feed every noob. And let me die to ward. best team. cant 1on5. just impossible. unbelievable how people can be so bad to lose thsi game. fucking trash of humanity. nice fair matchmaking. give me the 4 worst players in all of dota. 1on5. great. pa still has not 1 single. point. of hp. not one. Not fucking one. Even treads on agi. not one single point. i cant believe how lowskill and stupid people can be. i was smarter on my 2nd day dota. unbelievable. janitors. fucking garbagemans. yeah funny. alch"
0,247,0,commend. gank more cm. gg wp comend
0,247,1,is there a point to these predictions. other than showing off ur winning streak
0,247,2,thats all it otok?. one curse and you boys run?. i dont need 3 people. maybe gank luna next time
0,247,6,^. pay to win. GEGE
0,248,3,GG. END . TEAM NO DEF 
0,249,5,that's how we roll. kamehameha. gg. ggwp. ggwp
0,257,1,REALLY. WHAT THE. GG. AHAHHA. REALLY /. WHAT THE
1,257,5,g. GG LS. just report LS. Fucking noisyt. cant even help. Lol. ur lucky. got noob LS. he's at base. LOL. Lucky. report LS pls thanks. fucking noob
0,257,7,end please. Pick pho as offlane rofl. how to win then no one can kill weaver and am
0,263,0,is this game serious. this game. SERIOUSLY MOTHER FUCKERS. wet. GG
0,263,2,Wait
0,263,3,wait i pee. wait
0,263,4,lag
0,263,6,?. this is undying
0,264,3,so lucky. Sick wardtrap. Wtf are you doing
0,267,0,how often. are you gonna suicide kill me
0,267,4,rip farm. he h. he had a hard lane. very hard. lmao. you need trilane. u need sb. vs bbb. pls commend me. guys pls. commend for strong independent offlaner
0,267,6,u had so much luck. 100% chance for that fucking skill
0,268,1,no carry. sim
0,269,7,"gg. monkey blocks my hook, i said he was going to pick huskar what a game.. twice i get this shitty brood as  a core."
0,271,1,rofl. if u know. even ur ember cant last hit lul
0,271,2,youre no diff. sure. pick a shaman more
0,271,5,end pls. end. Ty
0,271,7,hghaha. Useless allies. Do I call myself as an allies?. Dumbfuck
0,273,3,ez. i see medusa mid. i see lose. i see noob at satrt]. too much talk. heh. you feel good?. uberlord farm for???
0,273,7,"wow. Ggwp. Cp,,emd me. Ggwp. Commend me"
0,273,8,"dont be worry , we have god father of drug. HAHA"
0,276,3,COMMEND ME  TY. TY FOR A GAME
0,277,1,glhf. <3. ten dota two heroes top. i eat cum. what sound do you think i make when i eat cum. !!!!. gg wp
0,277,9,no sound no mine blows up. OK ICEFRAUD
0,281,0,report rubick pls. report sups pls
0,281,4,ty. REPORTA SHAMAN E RUBICK = COMEND
0,282,7,if you could speak that AM afk or dc i would not resume . but those alien signs tell nothing . is that your tawarisz  ?. what !?. %%#@@#$@*@^@. rage . he cant farm . G  g
0,286,2,BS. NS. KEEP. FARMING. LIKE A . MORON. REALLY. F CK THIS. GUY
0,286,3,fury lycan boiys. run
0,286,5,rofl. farm more
0,290,0,ursa is goo dmid tho. ive never heard of storm mid before tbh. ursa stop . leave them alone. im gonna report ursa for ability abuse. ursa feeding. report
0,290,2,stop. look at this line up and honestly say your team was worse. You just lost. ur right. storm unconventional mid. ursa classic. lmao. gg
